PointID	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13
6530	2	14	2	0	0	0	0	0	0	0	0	0	0
6529	2	14	2	0	0	0	0	0	0	0	0	0	0
1952	0	6	1	0	0	0	0	0	0	0	0	0	0
1953	0	6	1	0	0	0	0	0	0	0	0	0	0
6510	4	13	3	0	1	0	0	0	0	0	0	0	0
6511	4	13	3	0	1	0	0	0	0	0	0	0	0
6504	4	13	3	0	1	0	0	0	0	0	0	0	0
6503	4	13	3	0	1	0	0	0	0	0	0	0	0
6502	4	13	3	0	1	0	0	0	0	0	0	0	0
6501	4	13	3	0	1	0	0	0	0	0	0	0	0
6508	4	13	3	0	1	0	0	0	0	0	0	0	0
6507	4	13	3	0	1	0	0	0	0	0	0	0	0
6506	4	13	3	0	1	0	0	0	0	0	0	0	0
6505	4	13	3	0	1	0	0	0	0	0	0	0	0
6509	4	13	3	0	1	0	0	0	0	0	0	0	0
6513	6	13	3	0	1	0	0	0	0	0	0	0	0
6512	6	13	3	0	1	0	0	0	0	0	0	0	0
6515	6	13	3	0	1	0	0	0	0	0	0	0	0
6514	6	13	3	0	1	0	0	0	0	0	0	0	0
6517	6	13	3	0	1	0	0	0	0	0	0	0	0
6516	6	13	3	0	1	0	0	0	0	0	0	0	0
6519	6	13	3	0	1	0	0	0	0	0	0	0	0
6518	6	13	3	0	1	0	0	0	0	0	0	0	0
6572	2	14	2	0	0	0	0	0	0	0	0	0	0
6571	2	14	2	0	0	0	0	0	0	0	0	0	0
6570	2	14	2	0	0	0	0	0	0	0	0	0	0
6569	2	14	1	1	0	0	0	0	0	0	0	0	0
6567	2	14	2	0	0	0	0	0	0	0	0	0	0
6568	2	14	2	0	0	0	0	0	0	0	0	0	0
1910	6	13	3	0	1	0	0	0	0	0	0	0	0
1909	0	3	1	0	0	0	0	0	0	0	0	0	0
6564	2	14	2	0	0	0	0	0	0	0	0	0	0
6563	2	14	1	1	0	0	0	0	0	0	0	0	0
6566	2	14	2	0	0	0	0	0	0	0	0	0	0
6565	2	14	2	0	0	0	0	0	0	0	0	0	0
7666	1	0	0	0	0	0	2	0	0	0	0	0	0
7665	1	0	0	0	0	0	2	0	0	0	0	0	0
7667	1	0	0	0	0	0	2	0	0	0	0	0	0
7668	1	0	0	0	0	0	2	0	0	0	0	0	0
7674	2	23	15	0	1	1	0	0	0	0	0	0	0
7673	2	23	15	0	1	1	0	0	0	0	0	0	0
7639	0	1	5	1	0	0	0	0	0	0	0	0	0
7640	0	1	5	1	0	0	0	0	0	0	0	0	0
7644	0	6	5	1	0	0	0	0	0	0	0	0	0
7643	0	6	5	1	0	0	0	0	0	0	0	0	0
7642	0	1	5	1	0	0	0	0	0	0	0	0	0
7641	0	1	5	1	0	0	0	0	0	0	0	0	0
7645	0	6	5	1	0	0	0	0	0	0	0	0	0
7646	0	6	5	1	0	0	0	0	0	0	0	0	0
7647	0	18	0	1	0	0	0	0	0	0	0	0	0
7648	0	18	0	1	0	0	0	0	0	0	0	0	0
7653	2	20	16	1	1	1	0	0	0	0	0	0	0
7654	2	20	16	1	1	1	0	0	0	0	0	0	0
7618	0	25	0	1	1	0	0	0	0	0	0	0	0
7617	0	0	0	0	0	2	0	0	0	0	0	0	0
7616	0	0	0	0	0	2	0	0	0	0	0	0	0
7615	0	0	0	0	0	2	0	0	0	0	0	0	0
7614	0	0	0	0	0	0	2	0	0	0	0	0	0
7613	0	0	0	0	0	2	0	0	0	0	0	0	0
7627	1	1	0	0	0	0	0	0	0	2	0	0	0
1991	2	3	0	0	0	0	0	0	0	0	0	0	0
1997	2	3	0	0	0	0	0	0	0	0	0	0	0
7623	4	19	16	1	0	1	0	0	0	0	0	0	0
1996	2	3	0	0	0	0	0	0	0	0	0	0	0
7626	1	1	0	0	0	0	0	0	0	2	0	0	0
6500	4	13	3	0	1	0	0	0	0	0	0	0	0
1989	2	3	0	0	0	0	0	0	0	0	0	0	0
1981	2	3	0	0	0	0	0	0	0	0	0	0	0
1982	2	3	0	0	0	0	0	0	0	0	0	0	0
1990	2	3	0	0	0	0	0	0	0	0	0	0	0
7600	0	7	1	1	0	0	0	0	0	0	0	0	0
7602	4	14	17	1	0	1	0	0	0	0	0	0	0
7601	0	7	1	1	0	0	0	0	0	0	0	0	0
7603	4	14	17	1	0	1	0	0	0	0	0	0	0
3157	4	23	10	0	1	0	0	0	0	0	0	0	0
3170	4	22	12	2	2	0	0	0	0	0	0	0	0
3176	6	15	2	2	1	0	0	0	0	0	0	0	0
3175	6	15	2	2	1	0	0	0	0	0	0	0	0
3169	4	22	12	2	2	0	0	0	0	0	0	0	0
3134	5	10	4	3	0	0	0	0	0	0	0	0	0
3140	4	8	4	3	0	0	0	0	0	0	0	0	0
3141	4	8	4	3	0	0	0	0	0	0	0	0	0
3138	2	20	6	1	0	0	0	0	0	0	0	0	0
3137	4	10	7	0	0	1	0	0	0	0	0	0	0
3136	4	10	7	0	0	1	0	0	0	0	0	0	0
3135	5	10	4	3	0	0	0	0	0	0	0	0	0
3139	2	20	6	1	0	0	0	0	0	0	0	0	0
3151	0	17	8	0	1	0	0	0	0	0	0	0	0
3152	0	17	8	0	1	0	0	0	0	0	0	0	0
3153	0	17	8	0	1	0	0	0	0	0	0	0	0
3154	0	17	8	0	1	0	0	0	0	0	0	0	0
3155	1	22	4	2	0	0	0	0	0	0	0	0	0
